week_day,is_rain,is_public_holiday,is_food_vendor,temperature,yesterday_customer_count,yesterday_revenue,event_location_rating,today_revenue
3,0,0,1,33.2,606,4241.73,6,4204.32
4,0,0,1,32.7,520,3641.06,3,4108.03
6,0,0,1,31.2,1574,11020.6,6,10446.34
1,1,0,1,32.3,563,3940.3,4,3310.23
7,0,0,0,30.2,293,5857.07,8,6448.15
5,1,0,1,29.4,745,5217.02,10,6275.11
2,1,0,0,25.3,75,1504.28,3,1730.42
6,1,0,1,26.6,764,5350.97,2,5944.88
7,0,0,1,30.5,1295,9062.76,9,9937.53
4,0,0,1,34.5,920,6440.52,8,5880.9
2,1,0,1,30.5,456,3191.08,10,3549.22
3,1,0,1,28.6,800,5599.03,9,5075.55
4,1,0,1,25.1,475,3322.44,8,3959.37
4,0,0,1,29.9,1008,7059.18,9,7134.89
4,0,0,0,26.7,136,2716.83,5,2596.51
2,0,0,1,31.4,392,2744.23,3,3354.3
2,0,0,1,28.7,624,4369.63,2,3824.3
4,0,0,1,31.6,701,4906.84,4,5671.51
7,0,0,1,25.7,844,5906.08,1,5710.16
7,1,0,1,34.4,811,5678.9,6,5512.48
3,1,0,1,28.9,540,3776.65,7,3708.97
5,1,0,1,34.4,756,5289.6,4,5542.09
4,0,0,0,34.6,140,2797.57,6,3015.95
6,1,0,0,33.4,182,3638.98,8,4496.41
2,1,0,1,33.1,560,3917.64,10,3631.83
5,1,0,1,31.3,939,6576.45,8,5713.74
2,0,0,0,32.4,120,2395.99,6,2750.93
3,1,0,1,32.5,642,4497.32,7,4005.69
3,1,0,1,34.9,331,2316.71,1,2086.06
3,0,0,1,28.4,558,3904.77,1,3330.85
7,0,0,1,33.6,1610,11269.11,10,10227.75
2,0,0,0,26.0,149,2973.67,4,2561.25
4,1,0,0,30.1,171,3421.67,10,2954.28
6,1,0,0,28.9,185,3691.45,5,4589.44
1,0,1,1,34.1,885,6191.84,7,5247.21
4,1,0,1,34.5,446,3124.94,4,3035.76
1,1,0,1,31.3,279,1952.9,2,2096.59
7,1,0,0,31.7,213,4268.4,7,3877.02
6,0,0,0,32.9,269,5387.09,7,5282.44
7,0,0,0,29.4,342,6846.09,8,5926.93
6,0,0,1,28.5,1060,7418.2,5,8826.47
5,1,0,1,25.8,975,6822.43,7,6314.8
7,1,0,1,25.7,583,4082.76,2,4903.98
3,1,0,1,25.8,782,5470.94,10,4579.51
6,0,0,1,28.7,1412,9881.65,3,8382.1
4,0,0,0,34.9,197,3931.33,10,3569.55
6,1,0,1,28.8,788,5518.3,4,4746.75
1,0,0,1,26.1,619,4335.86,4,4348.69
6,0,0,1,25.1,699,4892.83,1,5773.07
1,0,0,0,26.2,174,3484.33,10,3288.08
3,0,0,1,32.5,763,5339.39,9,5620.72
3,0,0,0,27.9,172,3441.79,4,2999.54
1,1,0,1,27.2,471,3294.63,3,2751.98
2,0,0,1,25.7,808,5658.97,9,5539.64
5,0,0,0,34.7,267,5347.93,4,4959.6
3,0,0,1,29.5,742,5197.35,5,4945.04
1,1,0,1,30.8,405,2832.49,3,2702.62
6,1,0,1,27.8,1055,7383.94,10,8436.39
3,0,0,0,29.6,116,2319.13,1,2790.45
3,1,0,1,34.7,490,3432.3,7,2873.46
4,0,0,0,32.0,131,2618.21,3,2326.23
7,0,0,1,31.8,801,5610.33,2,6485.58
5,1,0,1,34.1,684,4786.71,4,4948.54
7,0,0,1,34.3,1638,11468.42,10,10003.63
4,0,0,1,25.5,643,4498.99,2,4001.87
7,0,0,1,34.9,739,5175.54,3,6016.9
2,0,0,0,30.9,195,3901.72,8,3432.05
6,0,0,0,33.4,250,4999.67,5,5063.07
6,1,0,0,29.1,238,4750.94,5,4146.07
7,1,0,1,33.1,870,6087.6,4,5073.48
4,0,0,0,35.0,203,4058.66,5,3445.66
7,0,0,1,33.5,1175,8225.05,10,9149.73
6,1,1,1,29.5,1229,8600.95,8,8048.2
6,0,0,0,31.2,319,6384.34,9,6768.34
4,0,0,1,26.1,818,5729.44,6,5166.65
5,0,0,1,30.2,1725,12073.22,10,10582.44
5,1,1,1,30.5,1031,7218.56,5,7508.44
5,0,0,1,26.3,923,6462.05,8,7962.97
3,0,0,1,32.6,744,5209.61,8,5885.33
1,0,0,0,26.4,99,1977.72,2,2454.3
7,0,0,1,28.5,978,6848.29,7,7023.96
7,1,0,0,34.0,189,3773.14,5,4016.96
3,0,0,1,30.1,535,3747.2,1,3572.73
6,1,0,0,33.6,306,6119.68,9,5187.01
3,0,0,1,26.5,470,3290.38,1,3642.63
2,0,0,0,29.6,219,4386.68,8,3680.06
1,0,0,1,29.9,529,3699.55,3,4128.69
3,0,0,0,25.8,93,1855.53,2,2179.0
4,1,0,0,26.3,101,2014.13,5,2146.65
5,1,0,1,34.0,829,5800.51,8,5861.56
2,0,0,0,31.7,138,2766.63,10,3389.04
5,1,0,0,26.7,164,3279.47,7,3598.14
3,1,0,1,26.8,398,2787.98,5,2948.04
6,0,0,1,30.0,1428,9992.64,8,9285.48
7,0,0,0,25.4,254,5070.08,9,6088.7
7,0,0,0,33.7,293,5859.02,4,5014.79
6,0,0,1,25.6,1468,10272.82,7,9344.84
1,0,0,1,26.8,523,3661.09,7,4142.72
4,1,0,1,28.7,573,4012.22,3,4234.24
4,1,0,1,29.6,604,4225.35,6,3844.76
7,0,0,0,25.4,349,6973.88,8,6021.92
1,1,0,1,30.1,362,2530.81,3,2498.71
1,0,1,0,26.1,195,3898.77,7,4346.51
6,0,0,1,27.7,1006,7042.38,9,7405.91
4,1,0,1,25.2,483,3382.41,8,3633.1
7,0,0,0,26.2,265,5304.21,5,4587.58
2,1,0,0,30.9,102,2032.72,2,2033.99
4,0,0,0,25.9,181,3620.49,6,3567.54
7,0,0,1,30.9,828,5799.28,4,6814.41
5,0,0,0,27.8,231,4615.91,3,4883.36
1,0,0,1,31.5,633,4432.42,8,3710.36
5,0,0,0,31.1,225,4502.41,5,5031.24
6,0,0,1,26.0,1116,7814.0,9,9041.13
2,0,1,1,26.9,686,4801.87,5,5253.47
6,1,0,1,26.7,768,5375.43,5,4505.99
2,1,0,0,26.1,119,2389.29,7,2491.07
5,0,0,1,34.7,674,4718.55,1,5224.48
7,1,0,1,26.7,699,4896.28,1,4586.86
5,1,0,1,34.3,720,5037.23,4,5523.33
5,1,0,0,32.7,169,3388.61,5,3873.51
6,1,0,1,28.2,735,5144.41,3,5735.36
6,0,0,0,26.1,230,4598.54,8,4403.69
1,0,0,0,27.9,120,2408.15,5,2426.46
3,1,0,0,30.3,118,2363.89,9,2880.23
3,0,0,1,28.4,683,4780.5,5,4456.92
7,1,1,0,32.6,276,5519.15,6,5315.79
7,0,1,0,29.7,305,6106.5,4,5211.16
7,1,0,0,33.3,227,4549.31,9,3835.81
3,0,0,0,26.2,114,2278.31,2,2611.26
4,0,0,0,25.7,193,3864.31,7,3524.39
7,0,0,1,30.7,1367,9572.3,8,8561.17
1,0,1,0,27.0,191,3823.34,10,4417.68
2,0,0,1,26.6,651,4558.5,5,4516.83
6,0,0,1,28.6,1512,10582.55,5,9195.18
4,0,0,1,28.9,741,5190.05,7,5458.74
4,0,1,1,29.6,1168,8177.46,9,8883.22
4,0,0,1,32.5,562,3937.0,2,3394.46
7,0,0,1,28.8,905,6333.47,1,6225.02
6,0,0,1,34.1,1213,8489.71,6,7219.55
1,1,0,1,31.3,433,3031.55,6,3245.9
1,0,0,0,26.4,163,3250.99,8,3208.05
1,1,0,1,33.9,407,2851.69,1,2556.56
1,1,0,0,26.5,122,2438.36,10,2221.58
2,0,0,0,25.3,125,2491.24,4,2423.49
7,1,0,0,32.6,246,4927.92,10,4366.78
1,0,1,1,26.1,1087,7609.97,9,6683.73
3,1,0,1,26.3,425,2975.06,3,3459.5
1,0,0,1,27.3,482,3377.16,1,3101.44
2,0,0,1,32.2,592,4146.04,2,4076.38
6,0,0,0,27.5,351,7013.48,10,7474.84
1,0,0,1,26.8,672,4706.09,9,4900.44
3,0,1,0,29.6,302,6037.84,8,5121.53
7,0,0,1,26.5,1295,9062.1,8,8675.34
1,1,0,0,25.2,127,2536.68,3,2208.02
3,0,0,1,34.3,929,6501.46,7,5561.56
5,0,0,1,32.1,748,5234.47,2,6079.41
7,1,0,1,30.8,916,6413.67,9,5859.49
6,1,0,1,34.3,1231,8618.01,7,7364.39
3,1,0,1,29.5,643,4502.67,6,4692.23
4,0,0,1,25.5,766,5361.84,8,5740.24
1,0,0,1,33.0,735,5142.41,6,4402.97
7,0,0,1,28.5,954,6680.28,9,7115.91
3,1,0,1,32.4,439,3076.43,7,3136.09
7,1,0,0,26.4,157,3134.69,5,3600.8
3,0,0,0,30.0,184,3682.04,8,3896.51
2,1,0,1,30.8,409,2866.01,2,2722.0
7,0,0,1,25.1,1312,9181.79,9,7752.09
7,1,0,1,26.5,645,4516.03,1,4675.71
5,1,0,0,25.9,158,3155.29,3,3039.33
3,1,0,0,25.7,100,2003.8,1,1821.66
2,1,0,1,27.1,362,2531.14,3,2888.52
6,0,0,1,25.4,1062,7436.22,4,7520.25
4,0,0,0,30.6,192,3842.37,6,3935.62
7,1,0,1,29.0,565,3957.05,3,3864.85
2,1,0,0,26.6,149,2987.01,8,2534.7
6,0,0,1,28.7,1003,7021.13,4,7729.99
7,0,0,0,31.4,257,5143.77,10,5964.06
4,0,0,0,32.2,210,4201.44,10,3950.32
1,0,0,0,25.3,116,2318.27,3,2169.13
7,0,0,0,25.2,206,4124.35,7,4900.35
2,0,0,0,33.0,156,3113.55,9,3477.76
7,1,0,0,26.0,118,2354.34,1,2623.9
4,0,1,1,32.2,1088,7612.61,10,7939.12
4,0,0,1,31.7,530,3708.4,2,4204.56
4,0,0,1,27.9,858,6009.44,10,5193.68
4,1,0,0,33.2,109,2188.01,2,2335.8
2,0,0,0,27.6,150,2993.55,5,3299.68
6,0,0,0,31.2,255,5106.09,9,5298.07
6,0,0,1,30.5,1189,8320.82,6,7055.24
3,1,0,1,32.6,367,2568.83,4,3000.81
1,0,0,1,33.7,568,3974.39,2,3548.75
2,1,0,1,29.3,483,3381.94,10,4180.46
7,0,0,1,27.7,1489,10425.32,10,11543.22
3,1,0,0,26.4,117,2340.44,2,2063.93
4,0,0,0,34.8,95,1903.9,1,2094.68
3,0,0,1,25.2,597,4177.86,1,3583.93
3,1,0,1,26.2,353,2470.31,2,2417.91
5,0,0,1,31.5,934,6535.55,1,5773.98
4,1,0,0,27.1,190,3798.52,10,3563.29
4,0,1,1,26.8,1282,8976.84,6,7700.39
6,0,0,0,29.2,273,5453.36,8,6660.3
4,0,0,0,26.7,136,2710.61,5,2474.96
4,0,0,1,25.8,586,4103.22,6,4293.34
1,0,0,0,27.9,137,2730.23,5,2897.51
6,1,1,1,32.2,1032,7225.36,3,7295.25
3,0,0,1,31.6,630,4408.12,5,3752.45
6,1,0,1,32.3,622,4353.49,2,5305.45
3,0,0,0,30.0,124,2486.35,3,2393.63
6,1,1,1,28.3,1109,7760.3,9,9349.14
1,0,0,0,32.3,140,2807.49,6,2812.56
3,0,0,1,31.9,707,4950.04,8,4389.73
2,0,0,0,33.0,121,2427.46,2,2252.07
5,1,0,1,27.7,414,2899.7,1,3465.92
6,0,0,0,34.2,263,5257.3,7,6150.85
2,0,0,1,34.5,454,3181.38,3,3128.94
6,0,0,1,33.7,1103,7722.7,4,7066.31
4,0,0,1,33.1,817,5720.96,4,5019.8
5,0,1,1,27.5,1357,9501.06,4,9541.42
3,1,0,1,27.2,436,3054.54,5,3754.45
7,0,0,1,32.0,927,6486.45,4,7058.63
7,0,0,0,34.2,339,6784.86,8,5963.04
7,0,1,1,28.2,1920,13439.65,9,11877.03
7,0,0,0,25.4,202,4045.74,8,4769.65
5,0,0,1,25.8,1036,7250.87,4,6723.01
7,0,0,0,28.4,185,3707.06,1,4002.8
4,0,0,1,30.4,841,5888.78,6,5275.32
2,0,1,1,28.2,982,6873.15,6,6568.72
7,0,0,1,27.3,1031,7215.18,8,8910.27
6,1,0,1,33.7,1222,8557.27,10,7643.74
1,1,0,0,35.0,79,1571.23,3,1671.02
5,1,0,1,32.7,712,4987.48,5,4745.45
2,0,0,1,33.7,653,4571.65,10,3830.03
4,0,0,1,32.7,737,5162.0,9,4714.01
1,0,0,1,27.4,404,2828.56,5,3350.62
4,0,0,1,28.5,522,3651.42,3,4086.91
6,1,0,0,25.4,169,3378.41,9,4185.6
5,0,1,1,34.9,1122,7851.45,7,7325.08
7,0,0,1,27.2,1114,7801.27,5,6611.33
6,0,0,0,32.9,249,4970.5,2,4315.99
7,0,0,0,34.4,220,4409.97,6,4468.23
5,0,0,1,31.1,1272,8902.97,8,8858.01
6,0,0,0,27.3,315,6294.12,8,7229.54
1,0,0,0,27.2,107,2142.65,1,2279.29
3,1,0,1,25.6,641,4483.89,9,3775.46
4,0,0,0,33.8,171,3427.69,6,3106.77
7,1,0,0,32.0,118,2369.63,2,2750.4
7,0,0,1,33.2,1059,7413.08,7,7305.04
3,1,0,1,30.9,570,3987.19,9,3863.43
3,1,0,0,25.9,116,2310.08,10,2711.98
7,0,0,0,33.9,308,6162.46,6,5212.44
6,0,0,1,33.6,1055,7384.79,3,7237.56
6,0,0,1,25.9,1262,8833.87,6,9169.65
5,1,0,1,28.7,667,4666.01,1,4673.72
1,1,0,1,25.8,305,2132.52,3,2401.29
1,0,0,1,31.8,306,2144.21,1,2067.78
2,0,0,0,33.2,130,2591.75,7,2759.75
5,0,0,1,31.8,981,6870.32,6,5966.66
3,0,0,0,33.0,172,3439.16,6,3234.18
4,0,0,1,33.5,626,4384.21,1,3863.4
6,0,0,1,32.0,1101,7709.67,2,7191.48
3,1,0,0,31.2,155,3090.38,10,2681.81
3,1,1,0,33.7,108,2164.24,3,2666.31
7,0,0,1,33.3,915,6403.8,2,5835.41
7,1,0,0,26.6,201,4027.98,6,3573.48
6,0,0,1,33.3,883,6178.55,3,6753.88
6,1,0,0,31.2,251,5029.14,6,4217.4
5,0,1,1,31.3,1324,9267.89,4,9121.99
7,0,0,1,32.8,863,6042.11,8,7169.16
7,1,0,1,32.6,651,4555.18,2,4862.75
3,0,0,1,31.3,848,5935.93,7,5061.28
7,0,0,0,26.0,216,4319.71,6,5222.5
6,0,0,1,28.0,1193,8353.58,3,7711.46
7,1,0,0,25.7,141,2814.83,3,2684.97
4,0,0,1,25.5,1024,7168.33,9,6240.85
2,0,0,1,34.7,454,3179.98,4,3926.7
3,1,0,0,25.2,83,1659.85,2,1785.85
3,0,1,0,29.9,214,4289.33,5,4384.2
5,0,0,0,27.7,388,7762.78,10,6475.19
2,0,0,1,29.3,658,4604.75,6,4119.02
7,1,0,1,31.9,584,4086.96,2,4600.84
1,1,0,0,25.8,94,1888.45,4,2076.81
7,0,0,0,34.5,270,5404.68,9,6281.42
3,0,0,0,29.3,183,3650.44,7,3458.79
3,0,0,0,29.0,170,3404.87,7,3742.91
4,0,0,0,34.8,153,3067.74,6,3439.24
6,1,0,0,27.1,169,3375.57,6,4154.79
5,0,0,1,31.5,1059,7409.88,5,7490.14
4,0,0,0,34.7,140,2797.46,7,3199.99
7,0,0,1,33.7,1107,7749.46,3,6810.24
7,0,0,0,32.6,245,4891.96,3,4656.84
4,1,0,1,26.3,664,4646.44,8,4681.04
1,0,0,1,26.2,480,3359.2,4,3951.65
2,0,0,0,31.9,152,3042.43,10,3052.69
7,1,0,1,25.6,662,4635.03,2,4487.88
4,0,0,0,27.7,168,3350.48,7,3411.59
3,0,0,1,25.1,605,4235.74,6,5109.59
5,0,0,1,28.9,1408,9858.27,9,10754.5
3,1,0,1,31.9,474,3318.59,3,2900.74
1,0,0,0,32.8,114,2281.74,6,2709.99
7,0,0,1,27.4,972,6804.11,1,5695.41
1,0,0,1,26.4,915,6405.48,9,5925.59
4,0,0,0,30.6,165,3299.8,10,4104.7
3,0,1,1,28.3,754,5278.07,5,5613.47
5,0,0,1,25.3,994,6955.25,10,8365.39
3,0,0,0,29.0,149,2983.32,2,2773.15
4,0,0,1,33.0,422,2952.36,1,3354.73
5,0,1,1,26.7,1774,12416.57,10,11469.32
5,0,0,1,25.3,1235,8646.26,9,7361.75
6,1,0,0,25.5,252,5033.46,4,4383.07
1,0,0,0,32.1,175,3506.05,8,3128.47
3,0,0,0,28.4,216,4324.41,9,3837.37
7,0,0,1,29.5,1022,7153.06,1,6764.56
6,0,0,0,30.3,249,4978.45,8,6040.78
5,0,1,1,27.5,1372,9603.84,9,11117.9
3,0,0,1,33.7,622,4352.14,5,3900.19
5,0,1,0,31.6,280,5598.37,5,5602.41
2,1,1,1,30.6,626,4384.5,4,3658.22
6,1,0,0,34.7,212,4242.14,5,4001.53
3,0,0,0,27.0,130,2606.94,7,3209.48
7,0,0,0,27.6,203,4067.35,1,4129.08
3,1,0,1,33.7,494,3459.6,5,3565.87
6,0,0,1,28.5,1470,10290.82,9,10850.54
6,0,0,1,34.9,925,6474.23,4,5939.1
2,0,0,0,29.9,193,3860.65,4,3358.93
1,0,0,1,34.0,422,2951.62,3,2846.47
1,1,1,0,34.1,118,2350.19,8,2657.79
4,1,0,0,31.2,118,2364.71,5,2773.44
6,0,0,1,32.2,1338,9366.69,4,8049.66
5,1,0,0,26.8,159,3187.86,3,3197.74
4,1,0,1,27.5,650,4549.92,7,3962.31
7,0,1,1,29.5,1155,8085.39,5,7795.55
1,0,0,0,26.6,137,2739.9,6,2864.71
3,0,0,1,34.7,550,3847.27,3,4136.51
7,0,0,1,32.7,808,5658.88,6,6639.16
2,1,0,1,34.7,239,1675.39,1,2020.0
6,0,0,1,26.7,1066,7464.12,4,7405.55
2,0,0,1,28.4,612,4284.98,7,4763.81
5,0,0,0,31.2,251,5023.15,3,4639.42
4,0,0,0,26.7,165,3308.52,4,3342.44
4,1,1,0,33.4,238,4759.65,10,4241.1
1,0,0,0,30.9,94,1875.49,2,2220.12
4,0,0,1,27.7,606,4242.56,5,5156.03
6,0,0,0,30.3,395,7896.51,10,6728.74
2,0,0,0,28.2,166,3317.67,10,3308.1
3,0,0,1,25.4,888,6217.37,9,5419.76
7,1,0,0,29.5,254,5076.12,10,5044.65
7,1,0,1,29.9,639,4471.2,6,5506.47
1,1,0,1,28.1,597,4177.87,9,3861.7
2,0,0,0,27.0,174,3471.67,9,3551.58
4,0,0,1,33.7,457,3197.75,2,3671.94
5,0,0,0,31.9,260,5192.13,7,4958.4
4,0,0,1,33.7,815,5702.94,5,5546.29
6,0,0,0,25.3,269,5378.35,4,5023.65
5,0,0,1,27.2,1322,9256.24,9,8703.12
1,1,0,1,28.9,352,2467.44,1,2320.9
3,0,0,1,35.0,560,3919.65,7,4784.23
3,1,0,1,34.8,613,4287.66,7,3852.5
4,0,1,1,30.7,879,6154.56,3,5618.65
6,1,0,1,33.8,794,5558.46,7,5209.25
5,0,1,1,33.1,984,6885.98,1,6232.14
3,0,0,1,33.0,664,4650.98,7,5484.11
7,0,0,0,30.4,188,3751.7,4,4676.16
6,1,0,1,28.2,1041,7287.1,10,6758.66
7,1,0,0,28.9,135,2707.82,2,2764.56
1,0,0,1,27.4,335,2348.43,1,2831.89
2,1,0,0,31.0,103,2058.45,4,1928.68
7,1,0,1,31.2,709,4964.76,5,4334.77
2,1,0,0,30.2,127,2536.22,10,2557.52
7,1,0,0,25.3,138,2757.96,3,2874.29
6,0,0,0,30.8,278,5558.85,9,5485.12
5,1,0,1,31.1,944,6607.71,7,6077.46
5,0,1,1,34.6,1115,7805.71,7,9668.99
7,0,0,1,27.0,1221,8545.52,5,7298.79
4,0,0,0,25.6,184,3672.02,4,3128.39
3,1,0,1,28.5,366,2565.14,1,2841.6
5,0,0,1,27.8,922,6456.08,7,6995.31
2,0,0,0,33.0,134,2680.4,8,2567.1
7,0,0,1,32.2,789,5520.13,1,6072.42
3,0,0,0,29.1,144,2872.13,2,2678.11
2,1,0,1,26.8,435,3046.73,4,3016.37
4,0,0,0,32.1,117,2339.88,1,2592.3
2,1,1,0,34.6,134,2689.24,8,2707.06
2,1,0,0,33.1,97,1947.08,4,1848.62
5,0,0,1,34.5,1007,7046.47,6,6771.25
3,0,0,1,33.2,459,3212.92,2,3631.16
7,1,0,1,31.1,763,5340.6,4,5537.68
3,0,0,1,33.4,490,3428.11,3,3831.37
1,0,1,1,32.8,776,5429.07,7,5966.52
3,0,0,0,33.2,138,2758.84,4,3291.33
4,0,1,0,31.2,219,4370.91,8,4456.9
6,0,0,0,30.9,341,6817.09,6,5953.17
2,0,0,0,27.2,135,2695.39,9,3215.36
6,1,0,1,25.2,808,5657.69,2,5553.95
7,1,0,1,27.3,853,5967.77,4,6240.07
1,1,0,1,30.9,401,2804.59,6,3281.85
1,0,0,1,32.0,624,4365.52,8,4539.25
6,0,0,1,29.3,1253,8772.6,1,7331.87
1,0,0,1,26.3,424,2970.57,1,3529.49
5,1,0,1,32.2,453,3169.57,3,3810.64
1,1,0,0,25.9,151,3011.07,10,2600.96
5,0,0,1,26.9,702,4914.95,2,5217.58
3,1,0,0,25.7,100,1993.13,4,1978.05
3,1,0,1,25.7,366,2563.03,1,2522.66
1,0,0,1,33.8,492,3446.65,1,3250.48
6,0,0,1,30.3,1157,8097.44,6,7583.33
5,1,1,1,34.9,660,4623.44,1,4342.34
2,0,0,1,30.6,574,4020.5,8,4878.91
3,0,0,1,30.6,1105,7735.38,9,6538.51
5,1,0,1,26.8,539,3774.09,1,3720.77
2,0,0,1,26.0,693,4847.69,7,4945.87
1,0,0,1,32.6,775,5423.98,7,4850.72
6,1,0,1,34.3,569,3980.64,3,4453.33
7,1,0,1,29.0,1005,7033.85,6,6187.34
1,0,0,0,30.2,193,3864.51,10,3682.47
7,0,0,1,25.9,1175,8226.13,6,7277.01
1,0,0,1,32.8,591,4139.07,4,3820.1
3,0,0,0,25.4,156,3129.16,10,3314.6
6,0,0,0,25.9,267,5340.75,4,4546.16
6,0,0,0,30.5,219,4379.69,3,4474.18
6,0,0,0,31.0,227,4543.61,5,4515.29
4,0,0,0,34.2,160,3205.75,3,2810.66
4,0,0,1,27.1,657,4600.27,1,3924.35
1,0,0,1,26.2,655,4582.25,6,3980.45
7,0,0,0,33.7,251,5018.76,2,4471.57
6,1,0,1,32.9,946,6625.05,10,6892.54
5,0,0,0,26.7,241,4819.62,5,4470.97
3,0,0,1,28.5,847,5931.3,7,5253.62
3,0,0,0,26.3,167,3348.41,4,2924.87
6,0,0,0,34.2,294,5879.33,2,5316.22
2,0,1,0,26.7,226,4515.79,10,4511.16
4,1,0,0,29.0,127,2538.9,10,3069.02
2,0,0,1,25.3,527,3686.6,8,4316.53
3,0,0,0,34.6,167,3341.06,8,3433.77
5,1,0,0,28.1,196,3919.32,7,3909.71
3,0,0,1,29.4,744,5208.4,9,5875.8
2,1,0,1,31.2,517,3621.37,8,3416.13
6,0,0,1,26.5,1081,7566.09,2,6315.88
7,1,0,1,25.6,751,5256.64,3,4876.23
6,0,0,0,34.8,218,4360.3,7,5138.51
7,0,0,1,28.0,1100,7700.22,10,9162.36
4,0,1,1,31.9,1178,8247.84,7,6880.78
5,0,1,1,33.1,1429,10000.16,9,9559.58
