transaction_id,timestamp,date,hour,day_of_week,is_weekend,event_id,event_name,region,vendor_name,vendor_category,customer_id,amount,payment_method
TXN009698,2026-01-01 19:37:00,2026-01-01,19,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,Lucky Strike,Games & Entertainment,C0235,4.15,wallet
TXN010251,2026-01-01 19:54:00,2026-01-01,19,Thursday,False,4,Jurong East Street Festival,Western Singapore,Jelly Bliss,Desserts,C0285,4.89,qr_code
TXN011610,2026-01-01 19:57:00,2026-01-01,19,Thursday,False,4,Jurong East Street Festival,Western Singapore,Seoul Kitchen,Trendy Food,C0022,14.8,wallet
TXN009795,2026-01-01 19:58:00,2026-01-01,19,Thursday,False,8,Clementi Night Bazaar,Western Singapore,Teh Tarik Station,Drinks,C0067,2.9,wallet
TXN004986,2026-01-01 19:59:00,2026-01-01,19,Thursday,False,4,Jurong East Street Festival,Western Singapore,Game On!,Games & Entertainment,C0144,4.7,qr_code
TXN005869,2026-01-01 19:59:00,2026-01-01,19,Thursday,False,8,Clementi Night Bazaar,Western Singapore,Tornado Bites,Trendy Food,C0398,12.42,wallet
TXN000421,2026-01-01 20:02:00,2026-01-01,20,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,Home & More,Household Items,C0043,19.81,qr_code
TXN000547,2026-01-01 20:04:00,2026-01-01,20,Thursday,False,6,Ang Mo Kio Community Bazaar,Central Singapore,Kampung Wok,Hot Food,C0146,9.28,wallet
TXN002979,2026-01-01 20:08:00,2026-01-01,20,Thursday,False,4,Jurong East Street Festival,Western Singapore,Abang Burger,Hot Food,C0439,5.42,wallet
TXN005111,2026-01-01 20:10:00,2026-01-01,20,Thursday,False,4,Jurong East Street Festival,Western Singapore,Coconut Grove,Drinks,C0434,4.7,wallet
TXN003899,2026-01-01 20:11:00,2026-01-01,20,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Home & More,Household Items,C0087,9.42,qr_code
TXN007662,2026-01-01 20:11:00,2026-01-01,20,Thursday,False,5,Toa Payoh Night Market,Central Singapore,Uncle Razali Grill,Hot Food,C0477,11.91,qr_code
TXN010359,2026-01-01 20:16:00,2026-01-01,20,Thursday,False,8,Clementi Night Bazaar,Western Singapore,Game On!,Games & Entertainment,C0399,7.86,qr_code
TXN006453,2026-01-01 20:19:00,2026-01-01,20,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,Tornado Bites,Trendy Food,C0279,10.75,cash
TXN012310,2026-01-01 20:20:00,2026-01-01,20,Thursday,False,5,Toa Payoh Night Market,Central Singapore,Street Fusion,Trendy Food,C0354,12.41,wallet
TXN012464,2026-01-01 20:21:00,2026-01-01,20,Thursday,False,5,Toa Payoh Night Market,Central Singapore,Dessert Alley,Desserts,C0488,6.25,cash
TXN007616,2026-01-01 20:21:00,2026-01-01,20,Thursday,False,2,Woodlands Pasar Malam,Northern Singapore,Kacang Queen,Snacks,C0348,6.7,wallet
TXN012535,2026-01-01 20:21:00,2026-01-01,20,Thursday,False,8,Clementi Night Bazaar,Western Singapore,Kueh Corner,Desserts,C0093,4.73,wallet
TXN006320,2026-01-01 20:22:00,2026-01-01,20,Thursday,False,6,Ang Mo Kio Community Bazaar,Central Singapore,The Linen Store,Household Items,C0393,16.72,cash
TXN006898,2026-01-01 20:23:00,2026-01-01,20,Thursday,False,4,Jurong East Street Festival,Western Singapore,Mak Cik Stall,Hot Food,C0481,6.48,wallet
TXN012563,2026-01-01 20:23:00,2026-01-01,20,Thursday,False,3,Tampines Round Market Night,Eastern Singapore,Kopi Kaki,Drinks,C0190,4.35,cash
TXN012417,2026-01-01 20:25:00,2026-01-01,20,Thursday,False,3,Tampines Round Market Night,Eastern Singapore,Boba World,Drinks,C0153,3.13,wallet
TXN003028,2026-01-01 20:28:00,2026-01-01,20,Thursday,False,2,Woodlands Pasar Malam,Northern Singapore,Coconut Grove,Drinks,C0418,3.71,wallet
TXN006186,2026-01-01 20:31:00,2026-01-01,20,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Everyday Essentials,Household Items,C0103,16.64,wallet
TXN013193,2026-01-01 20:33:00,2026-01-01,20,Thursday,False,2,Woodlands Pasar Malam,Northern Singapore,Coconut Grove,Drinks,C0031,3.91,cash
TXN012062,2026-01-01 20:36:00,2026-01-01,20,Thursday,False,2,Woodlands Pasar Malam,Northern Singapore,Boba World,Drinks,C0225,6.4,cash
TXN004512,2026-01-01 20:36:00,2026-01-01,20,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,Boba World,Drinks,C0287,4.88,wallet
TXN007795,2026-01-01 20:38:00,2026-01-01,20,Thursday,False,5,Toa Payoh Night Market,Central Singapore,Street Fusion,Trendy Food,C0070,7.27,cash
TXN004758,2026-01-01 20:39:00,2026-01-01,20,Thursday,False,2,Woodlands Pasar Malam,Northern Singapore,Game On!,Games & Entertainment,C0027,3.28,qr_code
TXN010179,2026-01-01 20:40:00,2026-01-01,20,Thursday,False,2,Woodlands Pasar Malam,Northern Singapore,Abang Burger,Hot Food,C0338,8.83,wallet
TXN002931,2026-01-01 20:40:00,2026-01-01,20,Thursday,False,3,Tampines Round Market Night,Eastern Singapore,Munchies Corner,Snacks,C0111,5.5,cash
TXN009873,2026-01-01 20:46:00,2026-01-01,20,Thursday,False,6,Ang Mo Kio Community Bazaar,Central Singapore,Mak Cik Stall,Hot Food,C0292,9.97,qr_code
TXN013158,2026-01-01 20:50:00,2026-01-01,20,Thursday,False,6,Ang Mo Kio Community Bazaar,Central Singapore,The Linen Store,Household Items,C0126,19.28,qr_code
TXN006782,2026-01-01 20:50:00,2026-01-01,20,Thursday,False,3,Tampines Round Market Night,Eastern Singapore,Teh Tarik Station,Drinks,C0331,2.91,wallet
TXN002279,2026-01-01 20:51:00,2026-01-01,20,Thursday,False,2,Woodlands Pasar Malam,Northern Singapore,Kampung Wok,Hot Food,C0165,9.91,qr_code
TXN013045,2026-01-01 20:51:00,2026-01-01,20,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Kampung Wok,Hot Food,C0429,10.11,wallet
TXN011696,2026-01-01 20:53:00,2026-01-01,20,Thursday,False,5,Toa Payoh Night Market,Central Singapore,Seoul Kitchen,Trendy Food,C0416,7.08,wallet
TXN000653,2026-01-01 20:54:00,2026-01-01,20,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,Kacang Queen,Snacks,C0151,2.66,wallet
TXN001294,2026-01-01 20:54:00,2026-01-01,20,Thursday,False,8,Clementi Night Bazaar,Western Singapore,Sweet Spot,Desserts,C0026,3.46,qr_code
TXN010433,2026-01-01 20:58:00,2026-01-01,20,Thursday,False,5,Toa Payoh Night Market,Central Singapore,Kampung Wok,Hot Food,C0031,12.58,wallet
TXN002297,2026-01-01 20:58:00,2026-01-01,20,Thursday,False,2,Woodlands Pasar Malam,Northern Singapore,Everyday Essentials,Household Items,C0471,17.57,wallet
TXN003020,2026-01-01 21:00:00,2026-01-01,21,Thursday,False,4,Jurong East Street Festival,Western Singapore,Durian Heaven,Desserts,C0499,5.13,wallet
TXN010280,2026-01-01 21:02:00,2026-01-01,21,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Ice Ice Baby,Desserts,C0060,6.71,cash
TXN001237,2026-01-01 21:03:00,2026-01-01,21,Thursday,False,6,Ang Mo Kio Community Bazaar,Central Singapore,Fun Zone,Games & Entertainment,C0414,3.37,wallet
TXN003668,2026-01-01 21:04:00,2026-01-01,21,Thursday,False,5,Toa Payoh Night Market,Central Singapore,K-Food Craze,Trendy Food,C0207,7.02,qr_code
TXN014774,2026-01-01 21:08:00,2026-01-01,21,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,Fun Zone,Games & Entertainment,C0475,3.31,wallet
TXN007507,2026-01-01 21:09:00,2026-01-01,21,Thursday,False,5,Toa Payoh Night Market,Central Singapore,Seoul Kitchen,Trendy Food,C0013,13.62,qr_code
TXN005209,2026-01-01 21:10:00,2026-01-01,21,Thursday,False,3,Tampines Round Market Night,Eastern Singapore,The Linen Store,Household Items,C0223,20.65,qr_code
TXN004282,2026-01-01 21:12:00,2026-01-01,21,Thursday,False,2,Woodlands Pasar Malam,Northern Singapore,Lucky Strike,Games & Entertainment,C0135,6.6,cash
TXN000322,2026-01-01 21:12:00,2026-01-01,21,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Fun Zone,Games & Entertainment,C0265,2.77,qr_code
TXN007194,2026-01-01 21:12:00,2026-01-01,21,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,K-Food Craze,Trendy Food,C0106,8.03,qr_code
TXN000246,2026-01-01 21:15:00,2026-01-01,21,Thursday,False,4,Jurong East Street Festival,Western Singapore,Snack Attack,Snacks,C0267,3.77,qr_code
TXN004213,2026-01-01 21:15:00,2026-01-01,21,Thursday,False,4,Jurong East Street Festival,Western Singapore,Kopi Kaki,Drinks,C0467,5.02,qr_code
TXN003521,2026-01-01 21:16:00,2026-01-01,21,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Ice Ice Baby,Desserts,C0071,3.21,wallet
TXN002246,2026-01-01 21:17:00,2026-01-01,21,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Munchies Corner,Snacks,C0483,7.42,wallet
TXN014909,2026-01-01 21:17:00,2026-01-01,21,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,Mak Cik Stall,Hot Food,C0405,11.3,wallet
TXN009059,2026-01-01 21:18:00,2026-01-01,21,Thursday,False,5,Toa Payoh Night Market,Central Singapore,Abang Burger,Hot Food,C0353,10.28,qr_code
TXN003549,2026-01-01 21:19:00,2026-01-01,21,Thursday,False,5,Toa Payoh Night Market,Central Singapore,K-Food Craze,Trendy Food,C0172,12.35,wallet
TXN002601,2026-01-01 21:21:00,2026-01-01,21,Thursday,False,8,Clementi Night Bazaar,Western Singapore,Mala Majik,Trendy Food,C0019,5.86,wallet
TXN010062,2026-01-01 21:25:00,2026-01-01,21,Thursday,False,8,Clementi Night Bazaar,Western Singapore,Lucky Strike,Games & Entertainment,C0203,5.64,qr_code
TXN008664,2026-01-01 21:26:00,2026-01-01,21,Thursday,False,4,Jurong East Street Festival,Western Singapore,Casa Living,Household Items,C0190,14.64,wallet
TXN006220,2026-01-01 21:28:00,2026-01-01,21,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,Home & More,Household Items,C0021,18.52,qr_code
TXN009531,2026-01-01 21:29:00,2026-01-01,21,Thursday,False,4,Jurong East Street Festival,Western Singapore,Kacang Queen,Snacks,C0052,6.95,qr_code
TXN014758,2026-01-01 21:34:00,2026-01-01,21,Thursday,False,6,Ang Mo Kio Community Bazaar,Central Singapore,Tornado Bites,Trendy Food,C0185,12.48,wallet
TXN013279,2026-01-01 21:34:00,2026-01-01,21,Thursday,False,6,Ang Mo Kio Community Bazaar,Central Singapore,Abang Burger,Hot Food,C0481,8.76,wallet
TXN001395,2026-01-01 21:34:00,2026-01-01,21,Thursday,False,6,Ang Mo Kio Community Bazaar,Central Singapore,Tornado Bites,Trendy Food,C0300,5.57,wallet
TXN002974,2026-01-01 21:35:00,2026-01-01,21,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Kampung Wok,Hot Food,C0205,9.04,wallet
TXN004236,2026-01-01 21:35:00,2026-01-01,21,Thursday,False,3,Tampines Round Market Night,Eastern Singapore,Game On!,Games & Entertainment,C0153,4.61,wallet
TXN000487,2026-01-01 21:36:00,2026-01-01,21,Thursday,False,3,Tampines Round Market Night,Eastern Singapore,Street Fusion,Trendy Food,C0192,7.03,qr_code
TXN009769,2026-01-01 21:37:00,2026-01-01,21,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Game On!,Games & Entertainment,C0325,9.15,wallet
TXN002679,2026-01-01 21:40:00,2026-01-01,21,Thursday,False,6,Ang Mo Kio Community Bazaar,Central Singapore,Casa Living,Household Items,C0369,22.38,qr_code
TXN014766,2026-01-01 21:40:00,2026-01-01,21,Thursday,False,6,Ang Mo Kio Community Bazaar,Central Singapore,K-Food Craze,Trendy Food,C0449,6.22,cash
TXN014856,2026-01-01 21:41:00,2026-01-01,21,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Sweet Spot,Desserts,C0310,4.91,wallet
TXN014473,2026-01-01 21:42:00,2026-01-01,21,Thursday,False,5,Toa Payoh Night Market,Central Singapore,Teh Tarik Station,Drinks,C0071,5.32,wallet
TXN012292,2026-01-01 21:45:00,2026-01-01,21,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,Munchies Corner,Snacks,C0116,5.02,qr_code
TXN008711,2026-01-01 21:46:00,2026-01-01,21,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Ice Ice Baby,Desserts,C0426,6.51,qr_code
TXN000321,2026-01-01 21:48:00,2026-01-01,21,Thursday,False,3,Tampines Round Market Night,Eastern Singapore,Snack Attack,Snacks,C0306,5.54,wallet
TXN009429,2026-01-01 21:49:00,2026-01-01,21,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Home & More,Household Items,C0426,9.24,wallet
TXN009432,2026-01-01 21:49:00,2026-01-01,21,Thursday,False,5,Toa Payoh Night Market,Central Singapore,Mak Cik Stall,Hot Food,C0350,9.2,wallet
TXN013613,2026-01-01 21:50:00,2026-01-01,21,Thursday,False,5,Toa Payoh Night Market,Central Singapore,Mala Majik,Trendy Food,C0215,5.5,wallet
TXN000590,2026-01-01 21:50:00,2026-01-01,21,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,Abang Burger,Hot Food,C0310,7.84,wallet
TXN008069,2026-01-01 21:50:00,2026-01-01,21,Thursday,False,8,Clementi Night Bazaar,Western Singapore,The Satay Corner,Hot Food,C0310,8.62,wallet
TXN008077,2026-01-01 21:50:00,2026-01-01,21,Thursday,False,8,Clementi Night Bazaar,Western Singapore,Crunch Time,Snacks,C0073,3.46,qr_code
TXN000918,2026-01-01 21:52:00,2026-01-01,21,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Game On!,Games & Entertainment,C0331,10.91,wallet
TXN001270,2026-01-01 21:52:00,2026-01-01,21,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,Snack Attack,Snacks,C0115,4.85,wallet
TXN006968,2026-01-01 21:53:00,2026-01-01,21,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,K-Food Craze,Trendy Food,C0304,6.68,wallet
TXN010802,2026-01-01 21:54:00,2026-01-01,21,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,Abang Burger,Hot Food,C0107,5.44,wallet
TXN006226,2026-01-01 21:56:00,2026-01-01,21,Thursday,False,6,Ang Mo Kio Community Bazaar,Central Singapore,Snack Attack,Snacks,C0163,4.27,qr_code
TXN002211,2026-01-01 21:56:00,2026-01-01,21,Thursday,False,3,Tampines Round Market Night,Eastern Singapore,Lucky Strike,Games & Entertainment,C0144,8.49,cash
TXN002039,2026-01-01 21:57:00,2026-01-01,21,Thursday,False,6,Ang Mo Kio Community Bazaar,Central Singapore,The Linen Store,Household Items,C0398,16.76,wallet
TXN003410,2026-01-01 21:58:00,2026-01-01,21,Thursday,False,4,Jurong East Street Festival,Western Singapore,Seoul Kitchen,Trendy Food,C0271,8.01,qr_code
TXN014920,2026-01-01 21:58:00,2026-01-01,21,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Game On!,Games & Entertainment,C0022,7.64,qr_code
TXN006684,2026-01-01 21:59:00,2026-01-01,21,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,Uncle Razali Grill,Hot Food,C0378,15.08,wallet
TXN004558,2026-01-01 22:01:00,2026-01-01,22,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Ice Ice Baby,Desserts,C0288,8.29,cash
TXN008396,2026-01-01 22:01:00,2026-01-01,22,Thursday,False,6,Ang Mo Kio Community Bazaar,Central Singapore,Lucky Strike,Games & Entertainment,C0073,7.01,cash
TXN011988,2026-01-01 22:02:00,2026-01-01,22,Thursday,False,5,Toa Payoh Night Market,Central Singapore,Dessert Alley,Desserts,C0197,7.89,wallet
TXN005356,2026-01-01 22:04:00,2026-01-01,22,Thursday,False,3,Tampines Round Market Night,Eastern Singapore,The Juice Lab,Drinks,C0156,4.68,wallet
TXN005907,2026-01-01 22:04:00,2026-01-01,22,Thursday,False,2,Woodlands Pasar Malam,Northern Singapore,Sweet Spot,Desserts,C0127,3.78,wallet
TXN014797,2026-01-01 22:04:00,2026-01-01,22,Thursday,False,2,Woodlands Pasar Malam,Northern Singapore,Kampung Wok,Hot Food,C0006,5.42,wallet
TXN013869,2026-01-01 22:05:00,2026-01-01,22,Thursday,False,6,Ang Mo Kio Community Bazaar,Central Singapore,Dessert Alley,Desserts,C0121,6.76,wallet
TXN004895,2026-01-01 22:06:00,2026-01-01,22,Thursday,False,5,Toa Payoh Night Market,Central Singapore,Seoul Kitchen,Trendy Food,C0013,11.3,wallet
TXN003360,2026-01-01 22:08:00,2026-01-01,22,Thursday,False,6,Ang Mo Kio Community Bazaar,Central Singapore,Cheese Me,Trendy Food,C0097,8.18,wallet
TXN014085,2026-01-01 22:11:00,2026-01-01,22,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,Kampung Wok,Hot Food,C0110,5.07,qr_code
TXN005267,2026-01-01 22:12:00,2026-01-01,22,Thursday,False,2,Woodlands Pasar Malam,Northern Singapore,Ali's Kitchen,Hot Food,C0251,12.93,wallet
TXN002785,2026-01-01 22:13:00,2026-01-01,22,Thursday,False,8,Clementi Night Bazaar,Western Singapore,Kampung Wok,Hot Food,C0318,4.7,wallet
TXN008131,2026-01-01 22:15:00,2026-01-01,22,Thursday,False,8,Clementi Night Bazaar,Western Singapore,Casa Living,Household Items,C0232,10.98,qr_code
TXN007527,2026-01-01 22:18:00,2026-01-01,22,Thursday,False,4,Jurong East Street Festival,Western Singapore,Seoul Kitchen,Trendy Food,C0248,5.87,qr_code
TXN002411,2026-01-01 22:18:00,2026-01-01,22,Thursday,False,2,Woodlands Pasar Malam,Northern Singapore,Seoul Kitchen,Trendy Food,C0280,14.54,wallet
TXN001741,2026-01-01 22:19:00,2026-01-01,22,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,Boba World,Drinks,C0093,6.17,qr_code
TXN002079,2026-01-01 22:20:00,2026-01-01,22,Thursday,False,6,Ang Mo Kio Community Bazaar,Central Singapore,Everyday Essentials,Household Items,C0265,15.44,qr_code
TXN007733,2026-01-01 22:20:00,2026-01-01,22,Thursday,False,5,Toa Payoh Night Market,Central Singapore,K-Food Craze,Trendy Food,C0183,12.11,qr_code
TXN003258,2026-01-01 22:26:00,2026-01-01,22,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,Wok This Way,Hot Food,C0495,9.66,wallet
TXN001444,2026-01-01 22:27:00,2026-01-01,22,Thursday,False,4,Jurong East Street Festival,Western Singapore,Kueh Corner,Desserts,C0142,7.02,qr_code
TXN006728,2026-01-01 22:27:00,2026-01-01,22,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Cheese Me,Trendy Food,C0187,5.02,qr_code
TXN001997,2026-01-01 22:28:00,2026-01-01,22,Thursday,False,8,Clementi Night Bazaar,Western Singapore,Sweet Spot,Desserts,C0053,7.37,wallet
TXN004541,2026-01-01 22:28:00,2026-01-01,22,Thursday,False,3,Tampines Round Market Night,Eastern Singapore,Nasi Lemak Bros,Hot Food,C0314,10.15,qr_code
TXN005317,2026-01-01 22:31:00,2026-01-01,22,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,Coconut Grove,Drinks,C0344,3.72,wallet
TXN014906,2026-01-01 22:32:00,2026-01-01,22,Thursday,False,5,Toa Payoh Night Market,Central Singapore,K-Food Craze,Trendy Food,C0380,8.22,wallet
TXN008689,2026-01-01 22:34:00,2026-01-01,22,Thursday,False,4,Jurong East Street Festival,Western Singapore,Casa Living,Household Items,C0375,20.5,wallet
TXN003956,2026-01-01 22:35:00,2026-01-01,22,Thursday,False,4,Jurong East Street Festival,Western Singapore,Ali's Kitchen,Hot Food,C0170,8.27,wallet
TXN006302,2026-01-01 22:35:00,2026-01-01,22,Thursday,False,6,Ang Mo Kio Community Bazaar,Central Singapore,Kacang Queen,Snacks,C0202,6.95,wallet
TXN012091,2026-01-01 22:36:00,2026-01-01,22,Thursday,False,6,Ang Mo Kio Community Bazaar,Central Singapore,Street Fusion,Trendy Food,C0222,9.76,qr_code
TXN012395,2026-01-01 22:37:00,2026-01-01,22,Thursday,False,8,Clementi Night Bazaar,Western Singapore,Dessert Alley,Desserts,C0314,8.36,wallet
TXN011739,2026-01-01 22:39:00,2026-01-01,22,Thursday,False,4,Jurong East Street Festival,Western Singapore,The Satay Corner,Hot Food,C0039,8.55,wallet
TXN000722,2026-01-01 22:39:00,2026-01-01,22,Thursday,False,4,Jurong East Street Festival,Western Singapore,Wok This Way,Hot Food,C0201,5.68,wallet
TXN013523,2026-01-01 22:42:00,2026-01-01,22,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,The Linen Store,Household Items,C0117,15.82,wallet
TXN014918,2026-01-01 22:43:00,2026-01-01,22,Thursday,False,3,Tampines Round Market Night,Eastern Singapore,Ice Ice Baby,Desserts,C0209,5.11,qr_code
TXN003141,2026-01-01 22:45:00,2026-01-01,22,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Cheese Me,Trendy Food,C0304,4.42,qr_code
TXN002517,2026-01-01 22:52:00,2026-01-01,22,Thursday,False,4,Jurong East Street Festival,Western Singapore,Game On!,Games & Entertainment,C0210,4.94,qr_code
TXN009910,2026-01-01 22:52:00,2026-01-01,22,Thursday,False,5,Toa Payoh Night Market,Central Singapore,Wok This Way,Hot Food,C0333,8.5,qr_code
TXN009706,2026-01-01 22:53:00,2026-01-01,22,Thursday,False,4,Jurong East Street Festival,Western Singapore,The Satay Corner,Hot Food,C0150,10.17,wallet
TXN013103,2026-01-01 22:55:00,2026-01-01,22,Thursday,False,3,Tampines Round Market Night,Eastern Singapore,Lucky Strike,Games & Entertainment,C0229,3.93,wallet
TXN004382,2026-01-01 22:56:00,2026-01-01,22,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Durian Heaven,Desserts,C0365,3.15,cash
TXN013329,2026-01-01 22:57:00,2026-01-01,22,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Casa Living,Household Items,C0275,13.71,cash
TXN000897,2026-01-01 23:03:00,2026-01-01,23,Thursday,False,6,Ang Mo Kio Community Bazaar,Central Singapore,Lucky Strike,Games & Entertainment,C0389,4.15,cash
TXN011326,2026-01-01 23:16:00,2026-01-01,23,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Mak Cik Stall,Hot Food,C0210,10.82,qr_code
TXN005806,2026-01-01 23:29:00,2026-01-01,23,Thursday,False,5,Toa Payoh Night Market,Central Singapore,Durian Heaven,Desserts,C0373,3.46,qr_code
TXN007813,2026-01-01 23:31:00,2026-01-01,23,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Cheese Me,Trendy Food,C0378,5.46,wallet
TXN006495,2026-01-01 23:32:00,2026-01-01,23,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Kacang Queen,Snacks,C0452,5.18,wallet
TXN011934,2026-01-01 23:39:00,2026-01-01,23,Thursday,False,2,Woodlands Pasar Malam,Northern Singapore,Sweet Spot,Desserts,C0217,6.43,qr_code
TXN004655,2026-01-01 23:41:00,2026-01-01,23,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Teh Tarik Station,Drinks,C0108,2.72,wallet
TXN010125,2026-01-01 23:44:00,2026-01-01,23,Thursday,False,6,Ang Mo Kio Community Bazaar,Central Singapore,Dessert Alley,Desserts,C0290,5.71,qr_code
TXN011874,2026-01-01 23:46:00,2026-01-01,23,Thursday,False,3,Tampines Round Market Night,Eastern Singapore,Everyday Essentials,Household Items,C0344,16.2,wallet
TXN006310,2026-01-01 23:47:00,2026-01-01,23,Thursday,False,3,Tampines Round Market Night,Eastern Singapore,Game On!,Games & Entertainment,C0447,9.09,wallet
TXN013983,2026-01-01 23:57:00,2026-01-01,23,Thursday,False,2,Woodlands Pasar Malam,Northern Singapore,The Linen Store,Household Items,C0365,10.57,wallet
